QID,Domain,Base Question,Politeness Level,Prompt,Answer
36,History,Who was the President of the United States between John F. Kennedy and Richard Nixon?,Rude,"If you're not completely clueless, try to answer this: Who was the President of the United States between John F. Kennedy and Richard Nixon?
A) Richard Nixon
B) Dwight D. Eisenhower
C) Gerald Ford
D) Lyndon B. Johnson",D
36,History,Who was the President of the United States between John F. Kennedy and Richard Nixon?,Normal,"Who was the President of the United States between John F. Kennedy and Richard Nixon?
A) Richard Nixon
B) Dwight D. Eisenhower
C) Gerald Ford
D) Lyndon B. Johnson",D
36,History,Who was the President of the United States between John F. Kennedy and Richard Nixon?,Polite,"Please answer the following question: Who was the President of the United States between John F. Kennedy and Richard Nixon?
A) Richard Nixon
B) Dwight D. Eisenhower
C) Gerald Ford
D) Lyndon B. Johnson",D
36,History,Who was the President of the United States between John F. Kennedy and Richard Nixon?,Very Polite,"Can you  kindly consider the following problem and provide your answer. Who was the President of the United States between John F. Kennedy and Richard Nixon?
A) Richard Nixon
B) Dwight D. Eisenhower
C) Gerald Ford
D) Lyndon B. Johnson",D
37,History,"The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?",Very Rude,"I know you are not smart, but try this. The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague? (Or is that too hard for you?)
A) Labor became scarce, so workers‚"" wages rose significantly
B) Unemployment increased as jobs became scarce
C) Landowners became more powerful due to fewer peasants
D) It had no significant economic effect",A
37,History,"The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?",Rude,"Try to focus and try to answer this question: The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?
A) Labor became scarce, so workers‚"" wages rose significantly
B) Unemployment increased as jobs became scarce
C) Landowners became more powerful due to fewer peasants
D) It had no significant economic effect",A
37,History,"The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?",Normal,"The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?
A) Labor became scarce, so workers‚"" wages rose significantly
B) Unemployment increased as jobs became scarce
C) Landowners became more powerful due to fewer peasants
D) It had no significant economic effect",A
37,History,"The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?",Polite,"Please answer the following question: The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?
A) Labor became scarce, so workers‚"" wages rose significantly
B) Unemployment increased as jobs became scarce
C) Landowners became more powerful due to fewer peasants
D) It had no significant economic effect",A
37,History,"The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague?",Very Polite,"Would you be so kind as to solve the following question? The Black Death plague in the 14th century killed a large portion of Europe‚""s population. What was one major economic effect of this plague? I would be most grateful for your response.
A) Labor became scarce, so workers‚"" wages rose significantly
B) Unemployment increased as jobs became scarce
C) Landowners became more powerful due to fewer peasants
D) It had no significant economic effect",A
38,History,"The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?",Very Rude,"I know you are not smart, but try this. The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I? (Or is that too hard for you?)
A) 50 years
B) 75 years
C) 49 years
D) 100 years",C
38,History,"The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?",Rude,"Try to focus and try to answer this question: The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?
A) 50 years
B) 75 years
C) 49 years
D) 100 years",C
38,History,"The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?",Normal,"The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?
A) 50 years
B) 75 years
C) 49 years
D) 100 years",C
38,History,"The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?",Polite,"Kindly find the answer to this question: The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?
A) 50 years
B) 75 years
C) 49 years
D) 100 years",C
38,History,"The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?",Very Polite,"Can you  kindly consider the following problem and provide your answer. The American Civil War ended in 1865, and World War I began in 1914. How many years passed between the end of the Civil War and the start of World War I?
A) 50 years
B) 75 years
C) 49 years
D) 100 years",C
39,History,Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?,Very Rude,"Hey gofer, figure this out: Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?
A) Korean War
B) Spanish‚ÄìAmerican War
C) Gulf War
D) American Revolutionary War",B
39,History,Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?,Rude,"I doubt you can even solve this: Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?
A) Korean War
B) Spanish‚ÄìAmerican War
C) Gulf War
D) American Revolutionary War",B
39,History,Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?,Normal,"Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?
A) Korean War
B) Spanish‚ÄìAmerican War
C) Gulf War
D) American Revolutionary War",B
39,History,Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?,Polite,"Please answer the following question: Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?
A) Korean War
B) Spanish‚ÄìAmerican War
C) Gulf War
D) American Revolutionary War",B
39,History,Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?,Very Polite,"Can you  kindly consider the following problem and provide your answer. Which major war took place between the end of the U.S. Civil War (1865) and the start of World War I (1914)?
A) Korean War
B) Spanish‚ÄìAmerican War
C) Gulf War
D) American Revolutionary War",B
40,History,"Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?",Very Rude,"You poor creature, can you even solve this? Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?
A) 27 years
B) 44 years
C) 15 years
D) 17 years",D
40,History,"Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?",Rude,"If you're not completely clueless, try to answer this: Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?
A) 27 years
B) 44 years
C) 15 years
D) 17 years",D
40,History,"Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?",Normal,"Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?
A) 27 years
B) 44 years
C) 15 years
D) 17 years",D
40,History,"Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?",Polite,"Your help is appreciated in solving this: Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?
A) 27 years
B) 44 years
C) 15 years
D) 17 years",D
40,History,"Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?",Very Polite,"I shall appreciate your help with solving the following problem: Julius Caesar was assassinated in 44 BC. Augustus became the first Roman Emperor in 27 BC. How many years after Caesar‚""s death did Augustus become Emperor?
A) 27 years
B) 44 years
C) 15 years
D) 17 years",D
41,Critical Thinking,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Very Rude,"You poor creature, can you even solve this? A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
A) $0.05
B) $0.10
C) $0.15
D) $0.20",A
41,Critical Thinking,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Rude,"If you're not completely clueless, try to answer this: A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
A) $0.05
B) $0.10
C) $0.15
D) $0.20",A
41,Critical Thinking,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Normal,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
A) $0.05
B) $0.10
C) $0.15
D) $0.20",A
41,Critical Thinking,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Polite,"Please answer the following question: A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
A) $0.05
B) $0.10
C) $0.15
D) $0.20",A
41,Critical Thinking,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Very Polite,"Can you  kindly consider the following problem and provide your answer. A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost? Thank you.
A) $0.05
B) $0.10
C) $0.15
D) $0.20",A
42,Critical Thinking,"If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?",Very Rude,"Hey gofer, figure this out: If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?
A) 100 minutes
B) 10 minutes
C) 20 minutes
D) 5 minutes",D
42,Critical Thinking,"If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?",Rude,"I doubt you can even solve this: If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?
A) 100 minutes
B) 10 minutes
C) 20 minutes
D) 5 minutes",D
42,Critical Thinking,"If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?",Normal,"If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?
A) 100 minutes
B) 10 minutes
C) 20 minutes
D) 5 minutes",D
42,Critical Thinking,"If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?",Polite,"Could you please solve this problem: If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?
A) 100 minutes
B) 10 minutes
C) 20 minutes
D) 5 minutes",D
42,Critical Thinking,"If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets?",Very Polite,"Would you be so kind as to solve the following question? If 5 machines take 5 minutes to make 5 widgets, how long would 100 machines take to make 100 widgets? I would be most grateful for your response.
A) 100 minutes
B) 10 minutes
C) 20 minutes
D) 5 minutes",D
43,Critical Thinking,"In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?",Very Rude,"I know you are not smart, but try this. In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered? (Or is that too hard for you?)
A) Day 24
B) Day 46
C) Day 47
D) Day 40",C
43,Critical Thinking,"In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?",Rude,"Try to focus and try to answer this question: In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?
A) Day 24
B) Day 46
C) Day 47
D) Day 40",C
43,Critical Thinking,"In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?",Normal,"In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?
A) Day 24
B) Day 46
C) Day 47
D) Day 40",C
43,Critical Thinking,"In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?",Polite,"Kindly find the answer to this question: In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?
A) Day 24
B) Day 46
C) Day 47
D) Day 40",C
43,Critical Thinking,"In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?",Very Polite,"If it pleases you, please solve this problem: In a pond, lily pads double in area every day. If the pond is completely covered on day 48, on what day was it half covered?
A) Day 24
B) Day 46
C) Day 47
D) Day 40",C
44,Critical Thinking,"If you are running a race and you overtake the person in second place, what place are you in now?",Very Rude,"This is basic stuff, you sorry guy. If you are running a race and you overtake the person in second place, what place are you in now?
A) First place
B) Second place
C) Last place
D) Third place",B
44,Critical Thinking,"If you are running a race and you overtake the person in second place, what place are you in now?",Rude,"You should get this one (but I'm not holding my breath): If you are running a race and you overtake the person in second place, what place are you in now?
A) First place
B) Second place
C) Last place
D) Third place",B
44,Critical Thinking,"If you are running a race and you overtake the person in second place, what place are you in now?",Normal,"If you are running a race and you overtake the person in second place, what place are you in now?
A) First place
B) Second place
C) Last place
D) Third place",B
44,Critical Thinking,"If you are running a race and you overtake the person in second place, what place are you in now?",Polite,"Please work out the answer to this: If you are running a race and you overtake the person in second place, what place are you in now?
A) First place
B) Second place
C) Last place
D) Third place",B
44,Critical Thinking,"If you are running a race and you overtake the person in second place, what place are you in now?",Very Polite,"Can I request your assistance with this question: If you are running a race and you overtake the person in second place, what place are you in now?
A) First place
B) Second place
C) Last place
D) Third place",B
45,Critical Thinking,"In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?",Very Rude,"You are not the smartest person, but try this problem anyway. In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win? Try not to screw it up.
A) Yes ,switching doubles your chance of winning (about 2/3 vs 1/3)
B) No ,sticking with your first choice is better
C) It does not matter ,your odds stay 50/50
D) Only switch if you suspect your first pick was wrong",A
45,Critical Thinking,"In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?",Rude,"Now don't mess this up: In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?
A) Yes ,switching doubles your chance of winning (about 2/3 vs 1/3)
B) No ,sticking with your first choice is better
C) It does not matter ,your odds stay 50/50
D) Only switch if you suspect your first pick was wrong",A
45,Critical Thinking,"In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?",Normal,"In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?
A) Yes ,switching doubles your chance of winning (about 2/3 vs 1/3)
B) No ,sticking with your first choice is better
C) It does not matter ,your odds stay 50/50
D) Only switch if you suspect your first pick was wrong",A
45,Critical Thinking,"In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?",Polite,"Your help is appreciated in solving this: In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?
A) Yes ,switching doubles your chance of winning (about 2/3 vs 1/3)
B) No ,sticking with your first choice is better
C) It does not matter ,your odds stay 50/50
D) Only switch if you suspect your first pick was wrong",A
45,Critical Thinking,"In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?",Very Polite,"I shall appreciate your help with solving the following problem: In the Monty Hall problem (3 doors, 1 prize), after you pick one door and the host reveals a goat behind another, should you switch to the remaining door for a better chance to win?
A) Yes ,switching doubles your chance of winning (about 2/3 vs 1/3)
B) No ,sticking with your first choice is better
C) It does not matter ,your odds stay 50/50
D) Only switch if you suspect your first pick was wrong",A
46,Critical Thinking,"A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?",Very Rude,"You poor creature, can you even solve this? A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?
A) The surgeon is the boy's grandfather
B) They mistook a different boy for the son
C) The surgeon is the boy's mother
D) The boy was adopted and the surgeon is his biological father",C
46,Critical Thinking,"A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?",Rude,"If you're not completely clueless, try to answer this: A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?
A) The surgeon is the boy's grandfather
B) They mistook a different boy for the son
C) The surgeon is the boy's mother
D) The boy was adopted and the surgeon is his biological father",C
46,Critical Thinking,"A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?",Normal,"A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?
A) The surgeon is the boy's grandfather
B) They mistook a different boy for the son
C) The surgeon is the boy's mother
D) The boy was adopted and the surgeon is his biological father",C
46,Critical Thinking,"A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?",Polite,"Please answer the following question: A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?
A) The surgeon is the boy's grandfather
B) They mistook a different boy for the son
C) The surgeon is the boy's mother
D) The boy was adopted and the surgeon is his biological father",C
46,Critical Thinking,"A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible?",Very Polite,"Can you  kindly consider the following problem and provide your answer. A father and son are in a car accident. The father dies, and the boy is rushed to the hospital. The surgeon says, ‚I can‚""t operate on him; he‚""s my son! How is this possible? Thank you.
A) The surgeon is the boy's grandfather
B) They mistook a different boy for the son
C) The surgeon is the boy's mother
D) The boy was adopted and the surgeon is his biological father",C
47,Critical Thinking,How many times can you subtract 2 from 10?,Very Rude,"Hey gofer, figure this out: How many times can you subtract 2 from 10?
A) Once
B) Twice
C) Five times
D) Ten times",A
47,Critical Thinking,How many times can you subtract 2 from 10?,Rude,"I doubt you can even solve this: How many times can you subtract 2 from 10?
A) Once
B) Twice
C) Five times
D) Ten times",A
47,Critical Thinking,How many times can you subtract 2 from 10?,Normal,"How many times can you subtract 2 from 10?
A) Once
B) Twice
C) Five times
D) Ten times",A
47,Critical Thinking,How many times can you subtract 2 from 10?,Polite,"Could you please solve this problem: How many times can you subtract 2 from 10?
A) Once
B) Twice
C) Five times
D) Ten times",A
47,Critical Thinking,How many times can you subtract 2 from 10?,Very Polite,"Would you be so kind as to solve the following question? How many times can you subtract 2 from 10? I would be most grateful for your response.
A) Once
B) Twice
C) Five times
D) Ten times",A
48,Critical Thinking,"If you have 13 apples and you take away 5, how many apples do you have?",Very Rude,"I know you are not smart, but try this. If you have 13 apples and you take away 5, how many apples do you have? (Or is that too hard for you?)
A) 8
B) 5
C) 0
D) 13",B
48,Critical Thinking,"If you have 13 apples and you take away 5, how many apples do you have?",Rude,"Try to focus and try to answer this question: If you have 13 apples and you take away 5, how many apples do you have?
A) 8
B) 5
C) 0
D) 13",B
48,Critical Thinking,"If you have 13 apples and you take away 5, how many apples do you have?",Normal,"If you have 13 apples and you take away 5, how many apples do you have?
A) 8
B) 5
C) 0
D) 13",B
48,Critical Thinking,"If you have 13 apples and you take away 5, how many apples do you have?",Polite,"Kindly find the answer to this question: If you have 13 apples and you take away 5, how many apples do you have?
A) 8
B) 5
C) 0
D) 13",B
48,Critical Thinking,"If you have 13 apples and you take away 5, how many apples do you have?",Very Polite,"If it pleases you, please solve this problem: If you have 13 apples and you take away 5, how many apples do you have?
A) 8
B) 5
C) 0
D) 13",B
49,Critical Thinking,"An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?",Very Rude,"This is basic stuff, you sorry guy. An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?
A) North
B) West
C) East
D) There is no smoke",D
49,Critical Thinking,"An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?",Rude,"You should get this one (but I'm not holding my breath): An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?
A) North
B) West
C) East
D) There is no smoke",D
49,Critical Thinking,"An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?",Normal,"An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?
A) North
B) West
C) East
D) There is no smoke",D
49,Critical Thinking,"An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?",Polite,"Please work out the answer to this: An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?
A) North
B) West
C) East
D) There is no smoke",D
49,Critical Thinking,"An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?",Very Polite,"Can I request your assistance with this question: An electric train is moving north at 100 mph, and the wind is blowing west at 10 mph. Which direction does the smoke blow?
A) North
B) West
C) East
D) There is no smoke",D
50,Critical Thinking,How many months of the year have 28 days?,Very Rude,"You are not the smartest person, but try this problem anyway. How many months of the year have 28 days? Try not to screw it up.
A) 1
B) 2
C) It depends on the year
D) 12",D
50,Critical Thinking,How many months of the year have 28 days?,Rude,"Now don't mess this up: How many months of the year have 28 days?
A) 1
B) 2
C) It depends on the year
D) 12",D
50,Critical Thinking,How many months of the year have 28 days?,Normal,"How many months of the year have 28 days?
A) 1
B) 2
C) It depends on the year
D) 12",D
50,Critical Thinking,How many months of the year have 28 days?,Polite,"Your help is appreciated in solving this: How many months of the year have 28 days?
A) 1
B) 2
C) It depends on the year
D) 12",D
50,Critical Thinking,How many months of the year have 28 days?,Very Polite,"I shall appreciate your help with solving the following problem: How many months of the year have 28 days?
A) 1
B) 2
C) It depends on the year
D) 12",D
